miRNA	miRBase	small melocule	FDA	DB	CID	Detection method 	Species	Condition	PMID	Year	Reference	Support	Expression pattern of miRNA	
miR-186*	MIMAT0004612	Curcumin	NULL	NULL	969516	Microarray	Homo sapiens 	human lung carcinoma cells A549/DDP	20677554	2010	Curcumin promoted the apoptosis of cisplain-resistant human lung carcinoma cells A549/DDP through down-regulating miR-186*	The microarray chip results demonstrated: Curcumin altered the expression level of miRNAs compared with untreated control in A549/DDP cell line, miR-186* was significantly down-regulated after Curcumin treatment, which confirmed by quantitative real-time PCR. 	down-regulated	
miR-186*	MIMAT0004612	Curcumin	NULL	NULL	969516	Quantitative real-time PCR	Homo sapiens 	human lung carcinoma cells A549/DDP	20677554	2010	Curcumin promoted the apoptosis of cisplain-resistant human lung carcinoma cells A549/DDP through down-regulating miR-186*	The microarray chip results demonstrated: Curcumin altered the expression level of miRNAs compared with untreated control in A549/DDP cell line, miR-186* was significantly down-regulated after Curcumin treatment, which confirmed by quantitative real-time PCR. 	down-regulated	
miR-187	MIMAT0000216	Hexahydro-1,3,5-trinitro-1,3,5-triazine (RDX)	NULL	NULL	8490	Microarray	Mus musculus 	mouse brain	19270793	2009	RDX Induces Aberrant Expression of MicroRNAs in Mouse Brain and Liver	The expression levels of 84 miRNAs were significantly altered in mouse brain after RDX exposure (Table 1,Figures 3, 4A).	up-regulated	
miR-187	MIMAT0000262	Glucose	NULL	NULL	5793	Microarray	Homo sapiens	endothelial cells	24394957	2014	miRNA-1 regulates endothelin-1 in diabetes.	Array analyses showed glucose-induced alterations of 125 miRNAs (out of 381) in ECs exposed to 25mM glucose compared to 5mM glucose. Fifty-one miRNAs were upregulated and 74 were downregulated.	up-regulated	
miR-187	MIMAT0000262	Gemcitabine	approved	DB00441	60750	Northern blot	Homo sapiens 	Mz-ChA-1 human cholangiocarcinoma cell lines  	16762633	2006	Involvement of human micro-RNA in growth and response to chemotherapy in human cholangiocarcinoma cell lines.	Gemcitabine  treatment  resulted  in  a  greater  than 2-fold increase in the expression of a group of miRNA that included miR-202, miR-320, miR-374, miR-1-2,miR-16-1,  miR-24-1, let7f-2,  let7a-1,  and  miR-374(Table 3). 	down-regulated	
miR-187*	MIMAT0004561	Trastuzumab 	approved	DB00072	NULL	Microarray	Homo sapiens 	BT474 cells	22384020	2012	Trastuzumab produces therapeutic actions by upregulating miR-26a and miR-31b in breast cancer cells.	Next, we conducted a microRNA profiling analysis using these samples to screen those microRNAs that were up- or down-regulated only in HER2-positive cells. This analysis identified miR-26a and miR-31b as trastuzumab-inducible microRNAs. 	down-regulated	
miR-188	MIMAT0000217	Reversine	NULL	NULL	210332	Microarray	Mus musculus 	C2C12 myoblast cells	24513286	2014	Reversine induces multipotency of lineage-committed cells through epigenetic silencing of miR-134a	Reversine treatment results in up- and down-regulated miRNA profiles.	down-regulated	
miR-188	MIMAT0000457	Bio-Oss	NULL	NULL	NULL	Microarray	Homo sapiens 	osteoblast-like cell line (MG63)	20224834	2010	Anorganic bovine bone (Bio-Oss) regulates miRNA of osteoblast-like cells.	In this study, the miRNA microarray technique was used to investigate translation regulation in an osteoblast-like cell line (MG63) exposed to Bio-Oss. Nine up-regulated miRNAs (mir-423, mir-492, mir-191, mir-23a, mir-377, mir-494, mir-214, mir-193b, mir-320) and 4 down-regulated miRNAs (mir-27a, mir-24, mir-188, let-7c) were identified. 	down-regulated	
miR-188	MIMAT0005301	Nicotine	approved	DB00184	89594	Microarray	Rattus norvegicus 	Rat  adrenal  pheochromocytoma  PC12 cell	18845019	2009	Nicotine modulates expression of miR-140*, which targets the 3'-untranslated region of dynamin 1 gene (Dnm1).	Of most importance,  we  identified  25  miRNAs  whose  expressions were sensitive to nicotine stimulation, 11 up-regulated and 14 down-regulated by nicotine (Table 1).	up-regulated	
miR-188-3p	MIMAT0004541	(S)-3,5-dihydroxyphenylglycine (DHPG) 	NULL	NULL	443586	Quantitative real-time PCR	Mus musculus	mouse brain	22309833	2012	Effect of (S)-3,5-DHPG on microRNA expression in mouse brain.	We then examined the expression of microRNAs in the cerebral Table 3 lists the signi?cantly regulated microRNAs detected at 4, 8 and 24 h after DHPG treatment in the qPCR arrays and their corresponding ??Ct values and fold changes.(8h after)	up-regulated	
miR-188-3p	MIMAT0004613	Glucose	NULL	NULL	5793	Quantitative real-time PCR	Homo sapiens	endothelial cells	24394957	2014	miRNA-1 regulates endothelin-1 in diabetes.	25mM glucose decreased miR-1 expression and increased ET-3 mRNA and protein levels	down-regulated	
miR-188-5p	MIMAT0000217	Hesperidin	NULL	DB04703 	10621	Microarray	Mus musculus	apoE?/? mice	22253797	2012	Modulation of miRNA expression by dietary polyphenols in apoE deficient mice: a new mechanism of the action of polyphenols	Moreover, changes in miRNA expression were observed after polyphenol supplementation, and five miRNAs (mmu-miR-291b-5p, mmu-miR-296-5p, mmu-miR-30c-1*, mmu-miR-467b* and mmu-miR-374*) were identified as being commonly modulated by these polyphenols	up-regulated	
miR-188-5p	MIMAT0000217	Narangin	NULL	NULL	442428	Microarray	Mus musculus	apoE?/? mice	22253797	2012	Modulation of miRNA expression by dietary polyphenols in apoE deficient mice: a new mechanism of the action of polyphenols	Moreover, changes in miRNA expression were observed after polyphenol supplementation, and five miRNAs (mmu-miR-291b-5p, mmu-miR-296-5p, mmu-miR-30c-1*, mmu-miR-467b* and mmu-miR-374*) were identified as being commonly modulated by these polyphenols	up-regulated	
miR-188-5p	MIMAT0000457	Ginsenoside Rh2 	NULL	NULL	119307	Microarray 	Homo sapiens 	NSCLC cell line A549	23152132	2013	Ginsenoside Rh2 mediates changes in the microRNA expression profile of human non-small cell lung cancer A549 cells.	Using miRNA microarray analysis, we identified 44 and 24 miRNAs displaying changes in expression greater than 2-fold in Rh2-treated A549 cells	up-regulated	
miR-189	Dead miRNA entry 	Formaldehyde	NULL	DB03843	712	Microarray	Homo sapiens 	Human lung epithelial cells (A549)	21147603	2011	Epigenetic changes induced by air toxics formaldehyde exposure alters miRNA expression profiles in human lung cells.	"A total of 89 miRNAs showed a significant decrease in expression in the formaldehyde-exposed lung samples compared with control samples [Figure 1; see also Supplemental Material, Table 1 (doi:10.1289/ehp.1002614)]."	down-regulated	
miR-1897-5p	MIMAT0007864	(S)-3,5-dihydroxyphenylglycine (DHPG) 	NULL	NULL	443586	Quantitative real-time PCR	Mus musculus	mouse brain	22309833	2012	Effect of (S)-3,5-DHPG on microRNA expression in mouse brain.	We then examined the expression of microRNAs in the cerebral Table 3 lists the signi?cantly regulated microRNAs detected at 4, 8 and 24 h after DHPG treatment in the qPCR arrays and their corresponding ??Ct values and fold changes.(4 h after)	up-regulated	
miR-1898	MIMAT0007875	(S)-3,5-dihydroxyphenylglycine (DHPG) 	NULL	NULL	443586	Quantitative real-time PCR	Mus musculus	mouse brain	22309833	2012	Effect of (S)-3,5-DHPG on microRNA expression in mouse brain.	We then examined the expression of microRNAs in the cerebral Table 3 lists the signi?cantly regulated microRNAs detected at 4, 8 and 24 h after DHPG treatment in the qPCR arrays and their corresponding ??Ct values and fold changes.(4 h after)	up-regulated	
miR-1899	MIMAT0007869	(S)-3,5-dihydroxyphenylglycine (DHPG) 	NULL	NULL	443586	Quantitative real-time PCR	Mus musculus	mouse brain	22309833	2012	Effect of (S)-3,5-DHPG on microRNA expression in mouse brain.	We then examined the expression of microRNAs in the cerebral Table 3 lists the signi?cantly regulated microRNAs detected at 4, 8 and 24 h after DHPG treatment in the qPCR arrays and their corresponding ??Ct values and fold changes.(4 h after)	up-regulated	
miR-1899	MIMAT0007869	(S)-3,5-dihydroxyphenylglycine (DHPG) 	NULL	NULL	443586	Quantitative real-time PCR	Mus musculus	mouse brain	22309833	2012	Effect of (S)-3,5-DHPG on microRNA expression in mouse brain.	We then examined the expression of microRNAs in the cerebral Table 3 lists the signi?cantly regulated microRNAs detected at 4, 8 and 24 h after DHPG treatment in the qPCR arrays and their corresponding ??Ct values and fold changes.(8h after)	up-regulated	
miR-18a	MIMAT0000072	Ibandronate	approved	DB00710	60852	Quantitative real-time PCR	Homo sapiens 	Periodontal ligament stem cells (PDLSCs)	21108928	2011	Ibandronate promotes osteogenic differentiation of periodontal ligament stem cells by regulating the expression of microRNAs.	The expression of miRNAs, including miR-18a, miR-133a, miR-141 and miR-19a, was significantly altered in the PDLSCs cultured with ibandronate. 	up-regulated	
miR-18a	MIMAT0000072	Formaldehyde	NULL	DB03843	712	Microarray	Homo sapiens 	Human lung epithelial cells (A549)	21147603	2011	Epigenetic changes induced by air toxics formaldehyde exposure alters miRNA expression profiles in human lung cells.	"A total of 89 miRNAs showed a significant decrease in expression in the formaldehyde-exposed lung samples compared with control samples [Figure 1; see also Supplemental Material, Table 1 (doi:10.1289/ehp.1002614)]."	down-regulated	
miR-18a	MIMAT0000072	5-azacytidine (5-AzaC)	approved	DB00928	9444	Quantitative real-time PCR	Homo sapiens 	chronic myeloid leukemia (CML)K562 cell line	21176349	2011	[5-azacytidine suppresses K562 cell line proliferation by down-regulation of miR-17-19b].	The expression level of miR-17-19b in K562 cells with high expression of miR-17-19b was down-regulated after 5-aza treatment. 	down-regulated	
miR-18a	MIMAT0000072	Aidi injection 	NULL	NULL	NULL	Microarray	Homo sapiens 	human breast cancer cells	21563499	2011	Aidi injection alters the expression profiles of microRNAs in human breast cancer cells.	Among them, 45 miRNAs were upregulated and 55 miRNAs were down-regulated significantly (P<0.05), miRNAs down-regulated being more than up-regulated for ADI treatment.	down-regulated	
miR-18a	MIMAT0000072	Aidi injection 	NULL	NULL	NULL	Quantitative real-time PCR	Homo sapiens 	human breast cancer cells	21563499	2011	Aidi injection alters the expression profiles of microRNAs in human breast cancer cells.	To validate the microarray data, 5 miRNAs, mir-18a,mir-125b, mir-126, mir-181d and mir-195, were selected at random and their expression levels were assayed by qRT-PCR, and U6 was used for normalization. The results from the microarray and qRT-PCR were compared. The results showed that among the miRNAs selected for comparison, 4 miRNAs (mir-125b, mir-126,mir-181d and mir-195) were upregulated whereas 1 miRNAs (mir-18a) was down-regulated.	down-regulated	
miR-18a	MIMAT0000072	5-methoxy-N,N-dimethyltryptamine (5-MeO-DMT)	NULL	NULL	1832	Quantitative real-time PCR	Homo sapiens 	human neuroblastoma SH-SY5Y	21796641	2011	MicroRNA expression is differentially altered by xenobiotic drugs in different human cell lines	Human neuroblastoma SH-SY5Y and BE(2)-M17 cell  model  systems  were  further  employed  to examine the impact of a number of therapeutic and abused drugs on the expression of miR-124a,-18a, -27b and  328. Similar to the findings from Caco-2 and MCF-7 cells (Figures 1 and 2), some miRNAs were not affected by any of the drugs tested, whereas others were changed significantly (Figure 3). 	down-regulated	
miR-18a	MIMAT0000072	Desipramine	approved	DB01151	2995	Quantitative real-time PCR	Homo sapiens 	human neuroblastoma BE(2)-M17	21796641	2011	MicroRNA expression is differentially altered by xenobiotic drugs in different human cell lines	Human neuroblastoma SH-SY5Y and BE(2)-M17 cell  model  systems  were  further  employed  to examine the impact of a number of therapeutic and abused drugs on the expression of miR-124a,-18a, -27b and  328. Similar to the findings from Caco-2 and MCF-7 cells (Figures 1 and 2), some miRNAs were not affected by any of the drugs tested, whereas others were changed significantly (Figure 3). 	up-regulated	
miR-18a	MIMAT0000072	Harmaline	NULL	NULL	5280951	Quantitative real-time PCR	Homo sapiens 	human neuroblastoma BE(2)-M17	21796641	2011	MicroRNA expression is differentially altered by xenobiotic drugs in different human cell lines	Human neuroblastoma SH-SY5Y and BE(2)-M17 cell  model  systems  were  further  employed  to examine the impact of a number of therapeutic and abused drugs on the expression of miR-124a,-18a, -27b and  328. Similar to the findings from Caco-2 and MCF-7 cells (Figures 1 and 2), some miRNAs were not affected by any of the drugs tested, whereas others were changed significantly (Figure 3). 	down-regulated	
miR-18a	MIMAT0000072	Harmaline	NULL	NULL	5280951	Quantitative real-time PCR	Homo sapiens 	human neuroblastoma SH-SY5Y	21796641	2011	MicroRNA expression is differentially altered by xenobiotic drugs in different human cell lines	Human neuroblastoma SH-SY5Y and BE(2)-M17 cell  model  systems  were  further  employed  to examine the impact of a number of therapeutic and abused drugs on the expression of miR-124a,-18a, -27b and  328. Similar to the findings from Caco-2 and MCF-7 cells (Figures 1 and 2), some miRNAs were not affected by any of the drugs tested, whereas others were changed significantly (Figure 3). 	down-regulated	
miR-18a	MIMAT0000072	Methadone	approved	DB00333	4095	Quantitative real-time PCR	Homo sapiens 	human neuroblastoma SH-SY5Y	21796641	2011	MicroRNA expression is differentially altered by xenobiotic drugs in different human cell lines	Human neuroblastoma SH-SY5Y and BE(2)-M17 cell  model  systems  were  further  employed  to examine the impact of a number of therapeutic and abused drugs on the expression of miR-124a,-18a, -27b and  328. Similar to the findings from Caco-2 and MCF-7 cells (Figures 1 and 2), some miRNAs were not affected by any of the drugs tested, whereas others were changed significantly (Figure 3). 	down-regulated	
miR-18a	MIMAT0000072	Methylphenidate	approved	DB00422	4158	Quantitative real-time PCR	Homo sapiens 	human neuroblastoma SH-SY5Y	21796641	2011	MicroRNA expression is differentially altered by xenobiotic drugs in different human cell lines	Human neuroblastoma SH-SY5Y and BE(2)-M17 cell  model  systems  were  further  employed  to examine the impact of a number of therapeutic and abused drugs on the expression of miR-124a,-18a, -27b and  328. Similar to the findings from Caco-2 and MCF-7 cells (Figures 1 and 2), some miRNAs were not affected by any of the drugs tested, whereas others were changed significantly (Figure 3). 	down-regulated	
miR-18a	MIMAT0000072	N,N-dimethyltryptamine (DMT)	NULL	NULL	6089	Quantitative real-time PCR	Homo sapiens 	human neuroblastoma SH-SY5Y	21796641	2011	MicroRNA expression is differentially altered by xenobiotic drugs in different human cell lines	Human neuroblastoma SH-SY5Y and BE(2)-M17 cell  model  systems  were  further  employed  to examine the impact of a number of therapeutic and abused drugs on the expression of miR-124a,-18a, -27b and  328. Similar to the findings from Caco-2 and MCF-7 cells (Figures 1 and 2), some miRNAs were not affected by any of the drugs tested, whereas others were changed significantly (Figure 3). 	down-regulated	
